skill,total_months,min_date,max_date
azure,10,2021-07-01,2022-04-01
back office,13,2019-11-01,2020-11-01
django,10,2022-06-01,2023-03-01
engineering,9,2020-11-01,2021-07-01
nosql,9,2020-11-01,2021-07-01
python,41,2019-11-01,2023-03-01
tableau,10,2022-06-01,2023-03-01
testing,11,2019-02-01,2019-12-01
