skill,total_months,min_date,max_date
big data,14,2020-11-01,2021-12-01
hadoop,14,2020-11-01,2021-12-01
marketing,25,2018-11-01,2020-11-01
oracle,59,2016-05-01,2021-12-01
project management,25,2018-11-01,2020-11-01
python,38,2018-11-01,2021-12-01
shell,25,2018-11-01,2020-11-01
software,9,2014-02-01,2014-10-01
workflow,25,2018-11-01,2020-11-01
