start_date,end_date,JOB_TITLE,count_axis,duration
08/2022,03/2023,Unknown,2,7
09/2021,07/2022,Unknown,2,10
02/2007,08/2021,Unknown,2,176
02/2015,06/2020,project manager,3,64
02/2007,06/2020,testing. feb 2007 - jun 2020 business intelligence lead.responsibilities - defining the bi technological platform and analyzing different ,3,162
08/2004,01/2007,delivering end-user training. randstad argentina s.a. august 2004 - january 2007,3,29
06/2006,01/2007,developer,3,7
08/2004,05/2006,system analyst,3,21
11/2003,07/2004,Unknown,2,8
