skill,total_months,min_date,max_date
business,19,2021-09-01,2023-03-01
business intelligence,169,2006-06-01,2020-06-01
data warehouse,169,2006-06-01,2020-06-01
documentation,31,2003-11-01,2006-05-01
monitoring,65,2015-02-01,2020-06-01
software,175,2007-02-01,2021-08-01
support,22,2004-08-01,2006-05-01
testing,65,2015-02-01,2020-06-01
visualization,11,2021-09-01,2022-07-01
